"","Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","wildernessArea","soilType"
"1",3119,32,6,752,38,2014,219,226,144,2574,3,32
"2",3151,11,15,360,114,2215,202,208,140,1040,3,33
"3",2983,135,5,192,19,3618,228,238,144,2322,1,29
"4",3209,338,13,335,67,3750,192,222,168,1978,3,31
"5",2630,167,17,30,2,3408,232,244,137,2594,3,20
"6",3247,34,5,787,72,4022,219,228,145,2663,1,23
"7",3096,32,10,201,-9,3329,218,218,134,5256,1,20
"8",3162,313,30,484,162,551,127,201,207,1915,3,24
"9",3011,229,14,242,43,5606,198,252,190,2060,1,29
"10",3203,57,19,182,49,3327,229,197,93,778,3,32
"11",3025,65,9,153,37,2132,229,222,126,2763,3,23
"12",3249,65,9,240,37,1182,229,222,126,2280,1,23
"13",2608,212,18,30,13,2096,202,254,183,1382,3,17
"14",3012,244,7,42,5,5517,206,246,178,2138,1,22
"15",3012,99,30,42,16,997,252,184,37,1616,3,33
"16",2867,285,16,182,44,2524,174,238,203,2270,1,29
"17",3079,32,12,571,-95,1406,217,214,130,1012,1,23
"18",3295,331,23,474,144,2674,161,206,181,339,3,33
"19",3133,17,13,540,116,1622,209,213,139,2663,3,31
"20",3172,72,13,150,-2,3293,234,215,111,4919,1,29
"21",2870,304,12,268,105,3805,186,234,188,5766,1,29
"22",2975,66,8,42,0,2601,229,224,128,774,1,29
"23",3221,88,29,150,58,4920,248,180,40,1477,1,30
"24",3104,79,6,690,50,2364,228,229,135,2249,3,32
"25",3044,0,7,600,72,5646,210,227,155,3839,1,29
"26",3029,339,19,458,64,3384,174,208,171,1898,3,24
"27",3211,168,10,120,26,3109,228,244,147,5019,1,29
"28",2905,124,11,0,0,1937,239,232,123,492,3,23
"29",3095,338,5,437,10,564,209,233,162,811,2,22
"30",3092,6,17,218,-15,1332,196,204,142,350,3,24
"31",3196,347,3,150,-2,42,213,234,159,1406,2,23
"32",3166,359,16,150,32,2232,193,208,150,2854,3,24
"33",3283,305,26,480,177,437,141,216,211,930,2,22
"34",3582,114,15,815,363,2736,244,224,106,882,1,40
